PGC,Name,RAJ2000,DEJ2000,TT,Bmag,Ksmag,logK,HRV,VLS,Dist,e_Dist,PGC1,CF3
3356448,"SDSSJ095435.70+042307.8",148.6488,4.3856,9.0,17.41,14.81,8.04,1815,1633,,,28617,0
28741,"UGC05347",149.3187,4.5268,6.5,13.6,12.17,9.28,2143,1962,39.08,14,28741,1
1268744,"PGC1268744",148.9074,4.4767,10.0,16.93,14.69,8.18,1956,1775,,,1268744,0
1273344,"PGC1273344",150.5,4.791,8.0,17.56,14.61,8.08,1694,1514,,,1273344,0
28913,"UGC05373",150.0001,5.3322,9.9,11.4,9.5,7.94,300,122,1.38,6,28913,1
3356019,"2MASXJ09473857+0449179",146.9109,4.8216,9.0,16.14,14.11,8.93,3381,3201,,,3356019,0
3998030,"SDSSJ093132.35+032953.7",142.8847,3.4982,-2.0,17.93,13.6,9.18,3552,3365,,,3998030,0
27059,"UGC05078",142.9407,3.7286,6.2,15.43,13.58,9.09,3219,3033,67.61,18,27059,1
26953,"PGC026953",142.4727,3.6461,8.0,15.92,12.93,9.45,3566,3380,,,26953,0
27622,"IC0549",145.18,3.9592,9.0,14.61,12.53,8.65,1306,1121,,,27622,0
27734,"NGC2966",145.5481,4.6732,4.2,13.12,9.66,10.2,2044,1863,19.86,25,27635,1
3355936,"SDSSJ094218.93+044121.8",145.5789,4.6894,-5.0,18.3,13.96,8.48,2036,1855,,,27635,0
4668301,"HIPASSJ0942+04",145.7121,4.89,8.0,,14.16,8.4,1955,1775,,,27635,0
3998262,"SDSSJ094021.13+044406.3",145.088,4.7351,10.0,17.86,15.27,7.95,1982,1801,,,27635,0
1277283,"PGC1277283",145.2346,5.0446,10.0,18.11,14.41,8.3,1813,1634,,,27635,0
4019931,"SDSSJ094302.21+050144.1",145.7591,5.029,10.0,17.87,15.52,7.85,1942,1763,,,27635,0
1275824,"PGC1275824",144.843,4.9524,4.0,16.09,13.69,8.58,1896,1716,,,27635,0
27635,"NGC2962",145.2246,5.166,-1.1,12.63,8.78,10.55,1966,1787,31.05,9,27635,1
27248,"UGC05107",143.781,5.1199,6.4,14.32,11.35,9.55,2007,1828,33.11,14,27248,1
1297331,"PGC1297331",144.0357,6.257,2.0,16.52,12.54,9.25,2425,2251,,,1297331,0
26998,"UGC05069",142.6501,6.122,-2.0,14.48,10.5,10.38,3418,3243,,,26998,0
27228,"PGC027228",143.6864,6.4256,2.7,14.8,12.7,7.64,552,379,,,27228,0
4211781,"SDSSJ094526.24+051229.2",146.3592,5.2082,,18.02,15.22,8.42,3152,2973,,,4211781,0
213631,"PGC213631",146.5856,5.6872,10.0,16.74,14.63,8.64,2995,2818,,,28026,0
28029,"PGC028029",146.5851,5.6919,4.4,15.51,13.99,8.89,3162,2986,,,28026,0
28026,"NGC2990",146.5713,5.7086,5.0,12.45,10.19,10.41,3088,2911,45.29,18,28026,1
4010292,"SDSSJ094409.09+055612.7",146.038,5.9368,10.0,17.84,15.26,8.36,2998,2823,,,4010292,0
27968,"UGC05218",146.376,6.3768,6.4,15.07,11.09,10.06,3088,2915,53.21,18,27968,1
3998393,"SDSSJ094542.06+065211.6",146.4254,6.8699,9.0,18.26,15.68,8.21,3059,2888,,,3998393,0
1312117,"PGC1312117",146.911,7.018,9.0,17.42,15.09,8.43,3017,2846,,,1312117,0
1314481,"PGC1314481",147.0246,7.1289,10.0,16.96,13.8,7.2,535,365,,,28378,0
2807014,"PGC2807014",148.2588,7.7903,9.5,17.42,15.08,8.31,2594,2427,,,87189,0
28378,"UGC05288",147.8208,7.8283,8.1,13.98,13.55,7.3,557,391,11.53,9,28378,1
3998221,"SDSSJ093840.28+080809.8",144.6679,8.1361,,17.56,14.75,8.67,3346,3181,,,3998221,0
3460270,"2MASXJ09445892+0822116",146.2455,8.3699,9.0,15.98,14.24,8.27,1754,1590,,,3460270,0
3998507,"SDSSJ095030.30+082136.0",147.6264,8.36,9.0,17.27,14.78,8.48,2756,2592,,,3998507,0
1364168,"PGC1364168",146.0121,9.3742,10.0,16.74,13.91,8.97,3048,2889,,,27776,0
